gene_id,SAMN31934616,SAMN31934617,SAMN31934618,SAMN31934759,SAMN31934760,SAMN31934761
gene-CCDC68|CCDC68,221,170,209,133,202,187
gene-LOC111095166|LOC111095166,18,19,21,7,11,11
gene-TCF4|TCF4,4967,4079,5081,3687,4172,3274
gene-LOC111095168|LOC111095168,0,0,0,0,5,0
gene-LOC111095182|LOC111095182,37,43,41,46,43,28
gene-CUPIN1|CUPIN1,13,0,14,18,25,17
gene-RAB27B|RAB27B,1803,1386,2128,2003,2053,1663
gene-C1H18orf54|C1H18orf54,813,783,784,942,1084,1068
gene-LOC102154410|LOC102154410,22,29,29,33,35,26
gene-STARD6|STARD6,674,585,687,598,667,690
gene-POLI|POLI,515,483,588,495,575,511
gene-LOC100683370|LOC100683370,4585,2588,4534,3646,4589,3881
gene-LOC106559491|LOC106559491,71,65,89,79,104,94
gene-MBD2|MBD2,540,482,541,392,461,429
gene-LOC111095203|LOC111095203,2,5,5,2,0,2
gene-LOC102154698|LOC102154698,0,0,4,0,3,8
gene-LOC119870725|LOC119870725,0,0,0,0,0,0
gene-LOC119870724|LOC119870724,10,9,6,0,5,8
gene-MEX3C|MEX3C,1091,926,1090,826,1085,961
gene-LOC119869925|LOC119869925,0,3,0,2,2,0
gene-DCC|DCC,836,720,1036,1000,794,605
gene-LOC119869846|LOC119869846,1,0,1,0,0,0
gene-LOC119869917|LOC119869917,1,0,0,1,1,0
gene-LOC106558192|LOC106558192,16,15,6,9,7,5
gene-SMAD4|SMAD4,3428,2977,3431,3284,3780,3062
gene-ELAC1|ELAC1,1625,1532,1529,1397,1575,1336
gene-LOC106559532|LOC106559532,10,3,8,14,10,7
gene-LOC111095227|LOC111095227,3,0,4,4,16,12
gene-LOC111095221|LOC111095221,0,3,5,0,0,0
gene-ME2|ME2,1163,772,1175,1049,1132,952
gene-MC2R|MC2R,17,5,9,26,17,17
gene-MC5R|MC5R,68,18,32,130,81,67
gene-RNMT|RNMT,3340,2801,2964,2796,3061,2902
gene-FAM210A|FAM210A,1011,818,988,836,1008,775
gene-LOC119870645|LOC119870645,6,0,0,0,0,0
gene-LDLRAD4|LDLRAD4,1419,1049,1165,1026,1271,1064
gene-LOC119870728|LOC119870728,55,63,42,10,20,10
gene-LOC111095250|LOC111095250,34,31,46,30,73,37
gene-LOC476204|LOC476204,15,13,14,15,18,21
gene-LOC102156553|LOC102156553,80,83,79,70,85,53
gene-LOC119869954|LOC119869954,0,3,2,1,1,0
gene-CCN2|CCN2,199,156,203,184,399,593
gene-LOC119870729|LOC119870729,20,16,24,0,0,6
gene-LOC100686253|LOC100686253,1922,1105,2081,1569,1881,1688
gene-LOC111095255|LOC111095255,69,76,92,58,81,40
gene-LOC119870646|LOC119870646,8,0,3,13,10,6
gene-LOC491231|LOC491231,143,111,165,124,179,145
gene-LOC100684412|LOC100684412,25,23,25,19,31,20
gene-MOXD1|MOXD1,1165,1168,1129,711,1114,1095
gene-LOC111095249|LOC111095249,18,15,24,4,7,9
gene-LOC119869889|LOC119869889,2,2,3,0,4,4
gene-LOC119870730|LOC119870730,42,22,36,11,18,31
gene-STX7|STX7,2788,2003,2648,2495,2587,2538
gene-LOC119874067|LOC119874067,372,309,381,418,491,466
gene-LOC102155332|LOC102155332,0,0,0,0,0,0
gene-VNN1|VNN1,731,546,512,379,757,573
gene-LOC119869965|LOC119869965,3,1,2,0,1,4
gene-LOC111095280|LOC111095280,0,0,0,0,0,0
gene-SLC18B1|SLC18B1,488,441,422,410,537,383
gene-LOC111095265|LOC111095265,76,57,63,45,45,27
gene-RPS12|RPS12,1969,1924,1994,1931,2280,2326
gene-LOC119869906|LOC119869906,3,4,4,2,4,5
gene-LOC119869922|LOC119869922,4,10,9,11,12,17
gene-LOC119869914|LOC119869914,11,16,7,18,29,25
gene-LOC119869895|LOC119869895,5,5,5,4,10,7
gene-EYA4|EYA4,19,15,17,15,13,12
gene-LOC111095294|LOC111095294,0,0,0,0,0,0
gene-LOC100684703|LOC100684703,0,1,1,0,1,0
gene-LOC102156588|LOC102156588,0,0,0,0,0,0
gene-TBPL1|TBPL1,466,379,437,420,540,419
gene-SLC2A12|SLC2A12,1236,1186,930,979,1145,892
gene-LOC119869951|LOC119869951,3,2,3,3,3,3
gene-LOC119869853|LOC119869853,0,0,0,1,0,3
gene-LOC119870650|LOC119870650,0,4,0,0,4,0
gene-SGK1|SGK1,939,938,794,939,1062,1112
gene-LOC106558449|LOC106558449,58,47,55,49,23,39
gene-LOC100684930|LOC100684930,31,35,35,20,31,21
gene-ALDH8A1|ALDH8A1,49,54,54,71,104,102
gene-LOC119870651|LOC119870651,35,39,41,107,116,96
gene-HBS1L|HBS1L,4645,3905,4560,4023,5104,5099
gene-LOC102153582|LOC102153582,5,6,0,0,0,4
gene-MYB|MYB,158,99,140,125,109,102
gene-AHI1|AHI1,10020,7848,10210,8882,9887,9671
gene-LOC102153001|LOC102153001,316,360,330,189,308,249
gene-LOC111095371|LOC111095371,8,4,6,9,4,3
gene-LOC102156675|LOC102156675,55,51,70,31,43,27
gene-LOC119870735|LOC119870735,36,30,51,28,41,23
gene-LOC119870734|LOC119870734,33,30,32,21,28,27
gene-LOC102152959|LOC102152959,7,11,9,5,17,9
gene-LOC106558619|LOC106558619,0,0,0,2,0,0
gene-MTFR2|MTFR2,15,20,23,25,35,23
gene-LOC111095400|LOC111095400,36,35,27,26,28,37
gene-PDE7B|PDE7B,903,845,990,926,1018,1168
gene-LOC100856045|LOC100856045,0,0,0,0,0,0
gene-SLC35D3|SLC35D3,16,13,9,4,7,20
gene-IL20RA|IL20RA,10,14,21,11,23,14
gene-LOC119870738|LOC119870738,0,0,0,0,0,0
gene-IL22RA2|IL22RA2,0,0,2,1,4,13
gene-LOC119869884|LOC119869884,1,0,0,0,0,0
gene-LOC119870737|LOC119870737,3,7,6,10,10,7
gene-PEX7|PEX7,365,316,404,414,455,421
gene-LOC100685599|LOC100685599,2,2,0,0,0,3
gene-LOC100685756|LOC100685756,1,0,0,1,1,1
gene-LOC106558576|LOC106558576,336,301,331,217,337,270
gene-MAP7|MAP7,1205,1379,1145,710,831,681
gene-BCLAF1|BCLAF1,6891,5481,7326,7573,8186,7719
gene-LOC102154283|LOC102154283,569,425,579,402,540,403
gene-MAP3K5|MAP3K5,1191,1022,1312,958,1241,1004
gene-LOC102156750|LOC102156750,25,19,45,19,17,18
gene-LOC102155014|LOC102155014,453,424,753,415,758,663
gene-IFNGR1|IFNGR1,1015,941,1056,956,1147,1143
gene-TNFAIP3|TNFAIP3,94,128,95,96,91,130
gene-PERP|PERP,139,114,100,86,93,153
gene-LOC111095460|LOC111095460,8,6,10,3,0,5
gene-HEBP2|HEBP2,256,224,331,179,275,216
gene-ARFGEF3|ARFGEF3,9777,8482,9596,8248,9022,6752
gene-LOC102156831|LOC102156831,4,9,8,3,9,0
gene-LOC111095455|LOC111095455,25,32,43,27,27,42
gene-NHSL1|NHSL1,388,393,335,203,302,263
gene-FAM133B|FAM133B,67,81,69,51,51,50
gene-CCDC28A|CCDC28A,815,551,776,764,1012,876
gene-LOC100856236|LOC100856236,22,16,20,16,13,21
gene-ABRACL|ABRACL,226,227,271,112,112,86
gene-ECT2L|ECT2L,91,72,55,94,98,80
gene-REPS1|REPS1,1460,1091,1375,1219,1383,1358
gene-TXLNB|TXLNB,39,20,29,40,41,46
